IDGEO,ID_ENT,ID_MUN,ID_LOC,ID_AGEB,Entity,Municipality,Type,Long,Lat,Pob_MUN
0900300010304,09,003,0001,0304,Ciudad de México,Coyoacán,Urbana,-99.14604603520468,19.339329310929983,614 447
0900300010319,09,003,0001,0319,Ciudad de México,Coyoacán,Urbana,-99.13866611119298,19.3406991430288,614 447
0900300010323,09,003,0001,0323,Ciudad de México,Coyoacán,Urbana,-99.13769417738789,19.338738384654217,614 447
0900300010342,09,003,0001,0342,Ciudad de México,Coyoacán,Urbana,-99.12501724056352,19.34084391767535,614 447
0900300010376,09,003,0001,0376,Ciudad de México,Coyoacán,Urbana,-99.18590033160186,19.339234329454555,614 447
0900300011336,09,003,0001,1336,Ciudad de México,Coyoacán,Urbana,-99.11182611008896,19.3222335179467,614 447
0900300010427,09,003,0001,0427,Ciudad de México,Coyoacán,Urbana,-99.1700080253278,19.3397030359814,614 447
0900300010959,09,003,0001,0959,Ciudad de México,Coyoacán,Urbana,-99.10719710302116,19.319655045618337,614 447
0900300010431,09,003,0001,0431,Ciudad de México,Coyoacán,Urbana,-99.16843625372744,19.33709213410797,614 447
0900300010446,09,003,0001,0446,Ciudad de México,Coyoacán,Urbana,-99.15818780559044,19.337028603487745,614 447
0900300010450,09,003,0001,0450,Ciudad de México,Coyoacán,Urbana,-99.15237113644632,19.337056641369653,614 447
0900300010465,09,003,0001,0465,Ciudad de México,Coyoacán,Urbana,-99.14409902023006,19.334973940803938,614 447
0900300010484,09,003,0001,0484,Ciudad de México,Coyoacán,Urbana,-99.13904656634833,19.334248332465755,614 447
0900300010499,09,003,0001,0499,Ciudad de México,Coyoacán,Urbana,-99.13502703429216,19.33543075648137,614 447
0900300010501,09,003,0001,0501,Ciudad de México,Coyoacán,Urbana,-99.13063018719744,19.33460960543717,614 447
0900300010520,09,003,0001,0520,Ciudad de México,Coyoacán,Urbana,-99.12620522118132,19.33399182228517,614 447
0900300010696,09,003,0001,0696,Ciudad de México,Coyoacán,Urbana,-99.1407011030678,19.328293758602925,614 447
0900300010963,09,003,0001,0963,Ciudad de México,Coyoacán,Urbana,-99.16549246325734,19.313236874232512,614 447
0900300010785,09,003,0001,0785,Ciudad de México,Coyoacán,Urbana,-99.17060471330106,19.323766573966868,614 447
0900300011162,09,003,0001,1162,Ciudad de México,Coyoacán,Urbana,-99.16614757147384,19.33227272711749,614 447
0900300011232,09,003,0001,1232,Ciudad de México,Coyoacán,Urbana,-99.13033314485462,19.34062496894756,614 447
0900300011247,09,003,0001,1247,Ciudad de México,Coyoacán,Urbana,-99.11958899308829,19.33080890758556,614 447
0900300011251,09,003,0001,1251,Ciudad de México,Coyoacán,Urbana,-99.11503820026648,19.33271319557221,614 447
0900300011270,09,003,0001,1270,Ciudad de México,Coyoacán,Urbana,-99.11831763463816,19.326673080144506,614 447
0900300011321,09,003,0001,1321,Ciudad de México,Coyoacán,Urbana,-99.1114051369883,19.324784051999423,614 447
0900300010554,09,003,0001,0554,Ciudad de México,Coyoacán,Urbana,-99.17564995177612,19.3330026784468,614 447
0900300010573,09,003,0001,0573,Ciudad de México,Coyoacán,Urbana,-99.15323215381557,19.33090884214533,614 447
